id	description	code_eunis	owner	valide
50	dans des Balanes vides		houbin	t
149	sur roche à Laminaires		houbin	t
163	sur les roches couvertes de Chtamales et de Moules		houbin	t
164	sur les rochers parmi les algues		houbin	t
165	sur les rochers plus ou moins envasés et ensablés		houbin	t
176	dans les fentes du pan de roche dégarni au milieu du manteau d'Ascophylles et de Fucus		houbin	t
169	sur les parois verticales ombragées, parmi les balanes, les touffes d'algues en milieu battu		houbin	t
39	sur les surplombs couverts de Dendrodoa  grossulariata		houbin	t
78	dans les cavités profondes		houbin	t
81	près des entrées des grottes		houbin	t
156	sous les roches (dans l'eau sans cesse renouvelée)		houbin	t
157	sous les surplombs de rochers recouverts de petites Floridées et d'Hydraires		houbin	t
207	dans des abris naturels dans des rochers		houbin	t
42	dans la tunique d'Ascidia mentula fixée aux champs de blocs libres		houbin	t
46	sur les champs de blocs libres des fonds de baies abritées		houbin	t
48	dans les champs de blocs découverts aux grandes marées		houbin	t
148	blocs rocheux		houbin	t
172	sous les roches mobiles		houbin	t
135	sous les pierres, parmi les Balanes		houbin	t
140	dans des pierres calcaires		houbin	t
141	sur les pierres parmi les Fucus		houbin	t
171	sur la face inférieure des pierres		houbin	t
70	dans les petites flaques d'eau qu'on trouve sur le sable au pied des rochers		houbin	t
184	dans le sable des dunes sous-marines		houbin	t
186	dans le sable fin et micacé		houbin	t
191	dans un gisement de sable à Ophéliens		houbin	t
136	sur des pierres		houbin	t
198	sur les bancs de sable grossier (dans l'eau sans cesse renouvelée)		houbin	t
204	dans le sable assez grossier mêlé de petits fragments de coquilles		houbin	t
54	fixé sur de vieilles coquilles		houbin	t
56	parmi les coquilles mortes		houbin	t
58	sur des coquilles mortes de Lamellibranches		houbin	t
59	sur des coquilles vides		houbin	t
74	graviers à Bryozoaires		houbin	t
75	sur les fonds de graviers		houbin	t
77	dans le gravier sableux		houbin	t
173	nappes caillouteux-graveleuses soumises à de fortes conditions de courant		houbin	t
208	sur le sable, gènèralement dans des faciès plus ou moins saumâtre		houbin	t
226	vase sableuse desséchée en morte eau		houbin	t
217	dans la vase des berges du chenal		houbin	t
218	dans la vase qui découvre et forme l'ébauche d'un slikke		houbin	t
219	dans le vase molle des coquilles de Tapes rhomboides etc...		houbin	t
225	sur la vase		houbin	t
76	graviers à Zostères		houbin	t
167	sous les blocs disséminés au milieu des herbiers de Zostères		houbin	t
168	sur les bancs de sable de ces herbiers		houbin	t
4	crampons ou bulbes des Saccorhiza polyschides		houbin	t
7	dans les Cystoseires incrustées d’éponges, d’ascidies, de bryozoaires ...		houbin	t
8	dans les Cystoseira fibrosa de l'herbier		houbin	t
9	dans les débris végétaux et les Cystoseires		houbin	t
10	sur les stipes de Laminaires		houbin	t
18	sur ou dans des algues		houbin	t
19	sur les algues, en hiver sur les Floridées		houbin	t
20	sur les bases et les stipes de Laminaria flexicaulis 		houbin	t
23	sur les stipes et les crampons des Laminaires 		houbin	t
29	dans les anfractuosités du Lithophyllum incrustans		houbin	t
31	dans les Corallines des cuvettes		houbin	t
239	sur des Floridées		houbin	t
240	dans les touffes d'algues rouges		houbin	t
22	parmi les Obelia geniculata		houbin	t
99	sur Dynamena pumila		houbin	t
104	sur Bugularia avicularia		houbin	t
105	sur les colonies d'Hydraires qui recouvrent les bois immergés, épaves flottant		houbin	t
107	sur les Bryozoaires		houbin	t
108	sur les Hydraires Sertularia operculata qui tapissent des excavations		houbin	t
117	sur un fragment de Sertularia		houbin	t
146	dans les byssus de Moules		houbin	t
166	sur les ascidies		houbin	t
170	sur une Eponge rouge Microciona atrasanguinea		houbin	t
189	en commensalisme avec Echinocardium cordatum		houbin	t
32	dans les Cystoseires des fonds graveleux et rocailleux des herbiers		houbin	t
47	herbiers plus ou moins vaseux		houbin	t
62	dans l'amas de coquilles parmi quelques touffes de Zostères		houbin	t
89	sur des petits herbiers ne découvrant qu'aux plus fortes marées		houbin	t
90	sur les Zostères (dans l'eau sans cesse renouvelée)		houbin	t
91	sur les zostères des herbiers		houbin	t
93	sous les Zostères, sous les pierres		houbin	t
94	dans les herbiers de Zostères à fond sableux	   	houbin	t
244	vase sableuse		houbin	t
245	sable grossier propre		houbin	t
255	sur les colonies d'Hydraires qui recouvrent les bois immergés, épaves flottant, ou sur les carènes de bateaux homardiers		houbin	t
256	dans des pieux et des bois flottés avec Limnoria  lignorum et souvent Chelura terebrans		houbin	t
257	sur les carènes de bateaux		houbin	t
258	sur des Gorgones, Ascidies, débris de coquilles des fonds à bryozoaires		houbin	t
259	dans les fentes de rochers		houbin	t
260	sur les colonies de Plumularia echinulata qui recouvrent très souvent sur une certaine longueur les filaments de Himanthalia lorea		houbin	t
261	crampons des Saccorhizes		houbin	t
262	sur le banc de sable		houbin	t
263	parmi les coquilles brisées		houbin	t
264	sur des fonds à bryozoaires		houbin	t
131	fonds caillouteux		houbin	t
132	sous des pierres		houbin	t
265	dans les fissures de rochers et dans les trous abandonnés par les Pholades et les Saxicaves		houbin	t
266	fixé sur de vieilles coquilles ou des massifs d'Hippodiplosia foliacea		houbin	t
267	fissure de rochers, trous abandonnés par Hiatella		houbin	t
33	parmi les algues		houbin	t
268	dans un bloc de granit pourri, avec Hiatella gallicana		houbin	t
269	dans les tuniques d'Ascidia mentula et Diazona violacea		houbin	t
270	dans les ruisseaux côtiers		houbin	t
271	dans les fentes de rocher		houbin	t
272	dans les sables fins		houbin	t
182	dans le sable pur		houbin	t
273	sable		houbin	t
274	sur des épaves ou des bois flottés		houbin	t
275	cailloutis et graviers		houbin	t
276	au milieu d'Eponges et de Botrylles		houbin	t
277	dans les crampons de Laminaria digitata		houbin	t
278	sur le sable		houbin	t
279	dans les Cystoseires		houbin	t
280	à l'arrivée de petits ruisseaux amenant de la vase dans le sable		houbin	t
1	parmi les Fucus		houbin	t
2	au milieu des touffes de Fucus serratus couvertes de Bowerbankia imbricata		houbin	t
3	sur les Codium tomentosum		houbin	t
5	dans les bulbes de Saccorhiza bulbosa		houbin	t
6	sur des Cystoseires		houbin	t
11	sur Bornetia  secundiflora		houbin	t
12	sur des algues encroutées d'Eponges et de Bryozoaires		houbin	t
13	sur des algues		houbin	t
14	sur des Laminaires		houbin	t
15	sur Himanthalia lorea		houbin	t
16	sur la face inférieure des Fucus et dans les interstices abrités de la lumière		houbin	t
17	sur les rochers, les surplombs couverts de Dendrodoa grossulariata, sous les pierres, dans les herbiers		houbin	t
193	sable à Amphioxus		houbin	t
21	sur les frondes et les stipes de Laminaires et de Saccorhiza bulbosa		houbin	t
24	sur les tiges et les racines des Laminaires, sur Leptoclinum lacazii		houbin	t
25	sur les touffes de Spondylothamnion multifidum		houbin	t
26	sur les Vaucheria		houbin	t
27	sur Ulva lactuca		houbin	t
28	dans le Lithophyllum incrustans		houbin	t
30	dans les Corallines des cuvettes		houbin	t
34	dans les Cystoseires de l'herbier		houbin	t
36	dans des cuvettes à Lithophyllum		houbin	t
37	sur les Hydraires		houbin	t
38	sur les Fucus envahis par les Hydraires et les Bryozoaires		houbin	t
40	sur les pierres recouvertes de Fucus et pour certaines d'Hildenbrandsia		houbin	t
41	dans la tunique d'Ascidia mentula fixée aux champs de blocs libres		houbin	t
43	dans les champs de blocs		houbin	t
44	sous les pierres déplaçables à la main		houbin	t
45	sur des gros blocs		houbin	t
49	sous des blocs, dans des fentes de rochers, dans des Balanes vides		houbin	t
51	dans les coquilles vides		houbin	t
55	massifs de Pentapora (Hippodiplosia) foliacea		houbin	t
57	parmi les coquilles vides		houbin	t
60	en association avec Phascolion strombi dans les coquilles vides de Turitella communis, de Nassa, de Murex, de Trochus, de Dentale ...		houbin	t
61	dans l'amas de coquilles parmi quelques touffes de Zostères		houbin	t
63	fonds de coquilles brisées		houbin	t
64	maerl		houbin	t
65	cuvettes à Corallina		houbin	t
66	dans des débris coquilliers grossiers		houbin	t
67	sur fond coquillier		houbin	t
68	dans les flaques		houbin	t
69	dans les flaques des prés salés		houbin	t
72	dans les graviers		houbin	t
73	dans les sédiments grossiers		houbin	t
79	dans les cavités profondes et les grottes		houbin	t
80	dans les grottes à Styelopsis		houbin	t
82	au plafond des grottes		houbin	t
83	sable entourant l'herbier		houbin	t
84	herbier de Zostères		houbin	t
85	dans le sable plus ou moins vaseux des herbiers		houbin	t
86	dans les herbiers vaseux, souvent avec Akera bullata		houbin	t
87	cuvettes d'herbier		houbin	t
88	avec Tapes pullastra		houbin	t
92	herbiers sous les pierres		houbin	t
95	herbiers, dans la vase noire et gluante		houbin	t
96	dans les creux des rochers qui forment des mares lorsque la mer s'est retirée		houbin	t
97	sur la faune fixée aux parois rocheuses		houbin	t
98	sur des Bugularia avicularia		houbin	t
100	sur Amphisbetia operculata		houbin	t
101	sur Eunicella verrucosa		houbin	t
102	sur Lafoea dumosa		houbin	t
103	sur les Ascidies		houbin	t
106	sur les Echinocardium		houbin	t
109	sur Obelia dichotoma		houbin	t
110	sur Plumularia echinulata		houbin	t
111	sur Sertularia operculata		houbin	t
112	sur Dynamena pumila		houbin	t
113	sur Nemertesia antennina		houbin	t
114	sur Tubularia ceratogyne		houbin	t
